#,DATE,TRADING CODE,LTP,HIGH,LOW,OPENP,CLOSEP,YCP,TRADE,VALUE,VOLUME
1,9/15/2022,BRACBANK,38.5,38.5,38.5,38.5,38.5,38.5,43,1.848,48012
2,9/14/2022,BRACBANK,38.5,38.5,38.5,38.5,38.5,38.5,39,0.793,20587
3,9/13/2022,BRACBANK,38.5,38.5,38.5,38.5,38.5,38.5,94,2.317,60191
4,9/12/2022,BRACBANK,38.5,38.5,38.5,38.5,38.5,38.5,81,4.452,115641
5,9/11/2022,BRACBANK,38.5,38.5,38.5,38.5,38.5,38.5,71,3.399,88276
6,9/8/2022,BRACBANK,38.5,38.5,38.5,38.5,38.5,38.5,94,39.124,1016203
7,9/7/2022,BRACBANK,38.5,38.5,38.5,38.5,38.5,38.5,106,6.104,158549
8,9/6/2022,BRACBANK,38.5,38.5,38.5,38.5,38.5,38.5,161,7.165,186096
9,9/5/2022,BRACBANK,38.5,38.5,38.5,38.5,38.5,38.5,200,31.128,808532
10,9/4/2022,BRACBANK,38.5,38.6,38.5,38.6,38.5,38.5,643,81.756,2123355
11,9/1/2022,BRACBANK,38.5,38.9,38.5,38.6,38.5,38.6,"1,894",144.249,3745028
12,8/31/2022,BRACBANK,38.6,38.8,38.5,38.5,38.6,38.5,"2,070",260.699,6766893
13,8/30/2022,BRACBANK,38.5,38.5,38.5,38.5,38.5,38.5,468,59.530,1546238
14,8/29/2022,BRACBANK,38.5,39,38.5,38.6,38.5,38.5,"1,123",92.160,2392362
15,8/28/2022,BRACBANK,38.5,38.9,38.5,38.5,38.5,38.5,"1,260",130.903,3391805
16,8/25/2022,BRACBANK,38.5,38.5,38.5,38.5,38.5,38.5,290,38.977,1012384
17,8/24/2022,BRACBANK,38.5,38.9,38.5,38.9,38.5,38.8,659,80.729,2093796
18,8/23/2022,BRACBANK,38.8,39,38.7,38.9,38.8,39,370,61.435,1584188
19,8/22/2022,BRACBANK,39,39,38.8,39,39,39,310,51.211,1314857
20,8/21/2022,BRACBANK,39,39.5,38.9,39.4,39,38.9,163,8.852,226646
21,8/17/2022,BRACBANK,38.9,39.2,38.8,39,38.9,39,269,13.434,344960
22,8/16/2022,BRACBANK,39.1,39.7,38.9,39.7,39,39.3,251,18.797,480259
23,8/14/2022,BRACBANK,39.1,39.5,38.9,39,39.3,38.9,156,3.425,87435
24,8/11/2022,BRACBANK,38.9,39.4,38.8,39,38.9,39.5,198,5.228,133925
25,8/10/2022,BRACBANK,39.5,39.8,38.8,39.8,39.5,39.2,338,52.746,1344274
26,8/8/2022,BRACBANK,39.2,39.7,39,39.5,39.2,39.5,358,38.329,978949
27,8/7/2022,BRACBANK,39.5,39.9,38.5,38.5,39.5,40,295,11.328,285758
28,8/4/2022,BRACBANK,40,40.8,39.6,40.6,40,39.9,367,29.242,730917
